序号-时间	进程名	进程ID	动作	路径	参数	结果	
133-17:49:52.3088730	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{da4e3da0-d07d-11d0-bd50-00a0c911ce86}\Instance\{9C24A977-0951-451A-8006-0E49BD28CD5F}\FriendlyName	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{da4e3da0-d07d-11d0-bd50-00a0c911ce86}\Instance\{9C24A977-0951-451A-8006-0E49BD28CD5F} 	0x00000000 [操作成功完成。  ]	
134-17:49:52.3088730	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{da4e3da0-d07d-11d0-bd50-00a0c911ce86}\Instance\{9C24A977-0951-451A-8006-0E49BD28CD5F}\Merit	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{da4e3da0-d07d-11d0-bd50-00a0c911ce86}\Instance\{9C24A977-0951-451A-8006-0E49BD28CD5F} 	0x00000000 [操作成功完成。  ]	
135-17:49:52.3088730	NTLite.exe	5324	REG_rmkey	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\WOW6432Node\CLSID\{da4e3da0-d07d-11d0-bd50-00a0c911ce86}\Instance\{9C24A977-0951-451A-8006-0E49BD28CD5F}	-	0x00000000 [操作成功完成。  ]	
136-17:49:52.3099786	NTLite.exe	5324	FILE_remove	D:\TEMP\MOUNTED\NLTmpMnt\Windows\SysWOW64\WSTPager.ax	-	0x00000000 [操作成功完成。  ]	
137-17:49:52.3099786	NTLite.exe	5324	FILE_remove	D:\TEMP\MOUNTED\NLTmpMnt\Windows\SysWOW64\VBICodec.ax	-	0x00000000 [操作成功完成。  ]	
138-17:49:52.3099786	NTLite.exe	5324	FILE_remove	D:\TEMP\MOUNTED\NLTmpMnt\Windows\SysWOW64\cca.dll	-	0x00000000 [操作成功完成。  ]	
139-17:49:52.3109773	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\wow64_microsoft-windows-v..ure-filter-tvanalog_31bf3856ad364e35_none_f8b082aa6f35be3d\10.0\	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\wow64_microsoft-windows-v..ure-filter-tvanalog_31bf3856ad364e35_none_f8b082aa6f35be3d\10.0 	0x00000000 [操作成功完成。  ]	
140-17:49:52.3109773	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\wow64_microsoft-windows-v..ure-filter-tvanalog_31bf3856ad364e35_none_f8b082aa6f35be3d\10.0\10.0.20348.1	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\wow64_microsoft-windows-v..ure-filter-tvanalog_31bf3856ad364e35_none_f8b082aa6f35be3d\10.0 	0x00000000 [操作成功完成。  ]	
141-17:49:52.3109773	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{DA4E3DA0-D07D-11d0-BD50-00A0C911CE86}\Instance\{A2E3074F-6C3D-11D3-B653-00C04F79498E}\FriendlyName	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{DA4E3DA0-D07D-11d0-BD50-00A0C911CE86}\Instance\{A2E3074F-6C3D-11D3-B653-00C04F79498E} 	0x00000000 [操作成功完成。  ]	
142-17:49:52.3109773	NTLite.exe	5324	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{DA4E3DA0-D07D-11d0-BD50-00A0C911CE86}\Instance\{A2E3074F-6C3D-11D3-B653-00C04F79498E}\CLSID	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Classes\CLSID\{DA4E3DA0-D07D-11d0-BD50-00A0C911CE86}\Instance\{A2E3074F-6C3D-11D3-B653-00C04F79498E} 	0x00000000 [操作成功完成。  ]	
